P1 Fish,P1 Score,P1 Rating,P2 Fish,P2 Score,P2 Rating,P3 Fish ,P3 Score,P3 Rating,P4 Fish ,P4 Score,P4 Rating,Map,Avg Rating,Player Count,Avg Score
Pufferfish,0,-1,,,0,Eel,0,-1,Anglerfish,1,-1,valley,-0.75,3,0.33
,,0,Bass,3,0,,,0,Pufferfish,2,0,barrel,0,2,2.50
Needlefish,0,0,,,0,Anglerfish,1,1,Flounder,2,0,cargo_hold,0.25,3,1.00
Salmon,2,1,,,0,Eel,0,1,Salmon,4,-1,valley,0.25,3,2.00
Swordfish,1,0,,,0,Flounder,0,1,Salmon,5,1,barrel,0.5,3,2.00
Bass,1,0,Bass,0,0,,,0,,,0,barrel,0,2,0.50
Flyfish,1,0,,,0,Swordfish,2,0,Needlefish,,0,barrel,0,3,1.00
Bass,2,0,,,0,Eel,0,0,,,0,firing_range,0,2,1.00
Bass,0,0,Flounder,,0,Salmon,1,0,,,0,valley,0,3,0.33
Swordfish,1,0,,,0,Anglerfish,2,0,Eel,0,0,valley,0,3,1.00
Flyfish,0,0,,,0,Salmon,1,-1,,,0,valley,-0.25,2,0.50
Anglerfish,3,0,,,0,Bass,2,0,,,0,cargo_hold,0,2,2.50
Bass,0,0,,,0,Swordfish,2,0,Flyfish,3,0,firing_range,0,3,1.67
,,0,Flounder,0,0,Pufferfish,0,0,,,0,acid_factory,0,2,0.00
Bass,2,1,Flyfish,0,1,,,0,Salmon,1,1,valley,0.75,3,1.00
Flounder,2,1,Pufferfish,1,1,Salmon,2,1,Bass,,0,cargo_hold,0.75,4,1.25
Flyfish,1,0,,,0,Anglerfish,1,0,,,0,acid_factory,0,2,1.00
,,0,Bass,0,0,Needlefish,2,0,,,0,acid_factory,0,2,1.00
Pufferfish,1,0,,,0,,,0,Salmon,0,0,cargo_hold,0,2,0.50
Anglerfish,0,0,Eel,2,1,Pufferfish,1,1,Flyfish,7,0,beach,0.5,4,2.50
Flyfish,1,1,,,0,Salmon,3,1,,,0,beach,0.5,2,2.00
Swordfish,2,1,,,0,Flounder,1,1,,,0,firing_range,0.5,2,1.50
Flyfish,1,0,,,0,Anglerfish,1,0,,,0,firing_range,0,2,1.00
Swordfish,3,0,,,0,Salmon,2,0,Swordfish,0,0,cargo_hold,0,3,1.67
Bass,0,0,Bass,0,0,Bass,0,0,Flyfish,4,0,firing_range,0,4,1.00
Pufferfish,0,0,Flyfish,1,1,,,0,,,0,valley,0.25,2,0.50
Flounder,0,0,Swordfish,4,0,,,0,Anglerfish,0,0,beach,0,3,1.33
Bass,2,0,,,0,Bass,0,1,,,0,firing_range,0.25,2,1.00
Anglerfish,1,0,,,0,Salmon,2,1,,,0,firing_range,0.25,2,1.50
Needlefish,1,0,,,0,,,0,Salmon,3,1,firing_range,0.25,2,2.00
Salmon,2,0,,,0,,,0,Eel,0,0,cargo_hold,0,2,1.00
Anglerfish,2,1,,,0,Anglerfish,1,1,,,0,beach,0.5,2,1.50
Flyfish,1,0,,,0,Flounder,3,0,,,0,barrel,0,2,2.00
Needlefish,1,0,,,0,Salmon,1,0,,,0,firing_range,0,2,1.00
Anglerfish,0,0,,,0,Pufferfish,2,0,,,0,beach,0,2,1.00
Salmon,1,0,,,0,Pufferfish,1,1,Flounder,2,1,firing_range,0.5,3,1.33
Flyfish,2,0,,,0,Salmon,2,0,,,0,barrel,0,2,2.00
Needlefish,0,1,Anglerfish,6,0,Swordfish,2,1,Pufferfish,2,1,barrel,0.75,4,2.50
Salmon,2,0,Eel,0,0,Flyfish,5,1,Flounder,0,0,firing_range,0.25,4,1.75
Eel,0,0,Flounder,0,0,Needlefish,1,1,Swordfish,3,1,valley,0.5,4,1.00
Swordfish,3,0,Pufferfish,4,0,Anglerfish,0,1,Bass,3,1,beach,0.5,4,2.50
Bass,1,1,Bass,2,-1,Bass,1,1,Bass,3,-1,valley,0,4,1.75
Flounder,1,0,,,0,Bass,,0,Anglerfish,3,0,cargo_hold,0,3,1.33
Anglerfish,2,0,,,0,Flyfish,3,0,Bass,,0,barrel,0,3,1.67
,,0,Bass,0,0,Bass,1,0,,,0,cargo_hold,0,2,0.50
,,0,Bass,1,-1,Bass,0,0,,,0,valley,-0.25,2,0.50
Needlefish,1,0,,,0,Bass,1,1,,,0,barrel,0.25,2,1.00
Flyfish,1,0,,,0,,,0,Pufferfish,2,0,beach,0,2,1.50
Bass,2,0,,,0,Needlefish,0,0,,,0,beach,0,2,1.00
Eel,1,0,,,0,Salmon,1,0,,,0,acid_factory,0,2,1.00
Swordfish,0,0,,,0,Anglerfish,0,1,,,0,firing_range,0.25,2,0.00
Needlefish,1,1,,,0,Needlefish,0,1,Flyfish,0,1,valley,0.75,3,0.33
Flounder,1,0,,,0,Salmon,0,0,Flounder,3,0,firing_range,0,3,1.33
Flyfish,0,0,Anglerfish,0,1,Swordfish,5,0,,,0,cargo_hold,0.25,3,1.67
Swordfish,1,0,,,0,Pufferfish,2,1,,,0,acid_factory,0.25,2,1.50
Anglerfish,2,0,,,0,Bass,,0,Bass,1,0,firing_range,0,3,1.00
,,0,Bass,1,1,,,0,Salmon,0,1,cargo_hold,0.5,2,0.50
,,0,Anglerfish,1,1,,,0,Flounder,1,1,beach,0.5,2,1.00
Bass,0,1,Flyfish,1,0,,,0,,,0,barrel,0.25,2,0.50
Salmon,0,0,Bass,,0,,,0,Flounder,0,0,cargo_hold,0,3,0.00
Bass,1,1,Bass,0,1,,,0,,,0,firing_range,0.5,2,0.50
Salmon,2,0,Bass,0,0,,,0,,,0,beach,0,2,1.00
Bass,0,0,Pufferfish,2,0,Salmon,4,0,,,0,cargo_hold,0,3,2.00
Salmon,3,0,Bass,0,0,,,0,,,0,firing_range,0,2,1.50
Flounder,1,0,,,0,,,0,Pufferfish,2,0,beach,0,2,1.50
Anglerfish,0,0,,,0,Flyfish,1,0,Eel,2,0,acid_factory,0,3,1.00
Pufferfish,2,1,Eel,1,1,,,0,Salmon,2,1,firing_range,0.75,3,1.67
Anglerfish,1,0,Flounder,2,0,,,0,Flyfish,3,0,acid_factory,0,3,2.00
Bass,1,0,Bass,1,0,,,0,,,0,cargo_hold,0,2,1.00
Bass,2,0,,,0,Needlefish,1,-1,Swordfish,2,0,beach,-0.25,3,1.67
Eel,1,0,Bass,0,0,,,0,,,0,barrel,0,2,0.50
,,0,Bass,0,0,Bass,0,0,,,0,cargo_hold,0,2,0.00
Salmon,2,0,Salmon,,0,Pufferfish,0,0,,,0,cargo_hold,0,3,0.67
,,0,Bass,0,0,Anglerfish,2,0,,,0,cargo_hold,0,2,1.00
,,0,Bass,3,0,Bass,2,0,,,0,beach,0,2,2.50
Bass,0,0,,,0,Eel,0,0,,,0,valley,0,2,0.00
Anglerfish,0,1,,,0,Flyfish,3,1,,,0,beach,0.5,2,1.50
Flounder,2,1,,,0,Salmon,2,1,,,0,firing_range,0.5,2,2.00
Bass,0,0,Bass,1,0,,,0,,,0,acid_factory,0,2,0.50
Eel,0,0,,,0,Bass,3,1,,,0,firing_range,0.25,2,1.50
Pufferfish,1,1,,,0,Salmon,3,1,,,0,barrel,0.5,2,2.00
Bass,,0,Swordfish,1,0,Flyfish,1,1,,,0,firing_range,0.25,3,0.67
,,0,Anglerfish,1,0,Pufferfish,0,1,,,0,cargo_hold,0.25,2,0.50
,,0,Needlefish,3,0,Flounder,2,1,,,0,barrel,0.25,2,2.50
,,0,Bass,0,0,Swordfish,1,1,,,0,valley,0.25,2,0.50
,,0,Salmon,1,0,Needlefish,1,1,,,0,cargo_hold,0.25,2,1.00
Bass,0,0,Eel,1,0,,,0,,,0,valley,0,2,0.50
Flyfish,0,0,,,0,Anglerfish,0,1,,,0,acid_factory,0.25,2,0.00
Salmon,2,0,,,0,Bass,0,0,,,0,cargo_hold,0,2,1.00
Swordfish,1,0,Bass,0,0,,,0,,,0,firing_range,0,2,0.50
,,0,,,0,Bass,0,0,Bass,0,0,cargo_hold,0,2,0.00
Salmon,0,0,,,0,Flounder,0,0,,,0,valley,0,2,0.00
,,0,Flounder,1,0,,,0,Salmon,3,0,beach,0,2,2.00
,,0,Eel,2,0,,,0,Eel,0,0,cargo_hold,0,2,1.00
,,0,Swordfish,3,0,,,0,Anglerfish,1,0,barrel,0,2,2.00
,,0,Pufferfish,1,0,,,0,Flounder,1,0,firing_range,0,2,1.00
Bass,2,0,,,0,,,0,Bass,0,0,firing_range,0,2,1.00
Salmon,0,0,,,0,,,0,Salmon,1,0,valley,0,2,0.50
Flounder,2,0,,,0,Flyfish,3,0,Needlefish,1,0,barrel,0,3,2.00
Flyfish,2,0,,,0,Pufferfish,0,0,Flounder,1,0,acid_factory,0,3,1.00
Bass,0,1,,,0,Pufferfish,1,1,,,0,firing_range,0.5,2,0.50
Salmon,0,0,,,0,Anglerfish,1,0,,,0,acid_factory,0,2,0.50
,,0,Bass,3,0,Anglerfish,0,0,,,0,firing_range,0,2,1.50
Needlefish,2,0,,,0,Bass,0,0,,,0,beach,0,2,1.00
,,0,Eel,1,0,,,0,Pufferfish,3,0,barrel,0,2,2.00
Bass,1,0,Bass,,0,Bass,0,0,,,0,beach,0,3,0.33
,,0,Pufferfish,0,0,Bass,2,0,,,0,valley,0,2,1.00
,,0,Bass,0,0,Bass,0,0,,,0,valley,0,2,0.00
Swordfish,0,1,,,0,,,0,Flyfish,0,1,valley,0.5,2,0.00
,,0,Bass,0,1,Bass,0,1,,,0,valley,0.5,2,0.00
,,0,Bass,0,1,Salmon,1,1,,,0,valley,0.5,2,0.50
,,0,Eel,1,1,,,0,Pufferfish,2,1,barrel,0.5,2,1.50
